city,cloudiness,humidity,latitude,longitude,max_temp,wind_speed
Soyo,76,94,-6.13,12.37,76.27,4.18
Laives,88,65,46.65,4.85,46.4,17.22
Monte Alegre,32,94,-2.0,-54.07,74.38,2.95
Redencao,80,98,-8.35,-72.75,72.58,2.28
Flagstaff,1,92,35.2,-111.65,46.4,6.93
San Vicente,0,54,13.64,-88.78,82.4,9.17
Fosforitnyy,40,85,55.33,38.9,24.8,8.95
Banda Aceh,0,85,5.56,95.32,80.77,4.63
Robertsport,0,100,6.75,-11.37,83.2,13.02
Istok,90,74,52.66,23.48,35.6,4.47
Amapa,90,94,15.09,-87.97,71.6,4.7
Abu Zabad,0,36,12.35,29.25,56.47,14.03
Ayan,64,94,40.67,33.6,22.81,7.09
Elko,75,69,40.83,-115.76,39.92,8.05
Santa Fe,0,91,-31.62,-60.7,71.68,5.3
Exaplatanos,0,87,40.98,22.13,22.72,3.29
Ormara,64,100,25.21,64.64,70.24,4.07
Arvika,0,100,59.65,12.59,17.6,5.82
Omsukchan,24,65,62.53,155.8,-36.51,3.06
Rawson,0,49,-43.3,-65.11,55.93,8.21
Mangrol,0,78,25.33,76.51,48.01,3.06
Limbe,68,94,-15.81,35.05,69.79,3.85
Ponte Nova,36,97,-20.42,-42.91,66.73,4.18
Mayor Pablo Lagerenza,0,53,-19.93,-60.77,87.88,13.24
Verkhoyansk,0,0,67.55,133.39,-66.84,2.39
Kodinsk,88,82,58.6,99.18,3.19,5.41
Sobeslav,64,82,49.26,14.72,32.17,10.45
Riyadh,0,46,24.63,46.72,69.8,8.05
Codajas,32,95,-3.84,-62.06,75.73,2.62
Aklavik,75,76,68.22,-135.01,-7.61,9.17
Crnici,75,74,43.13,17.87,35.6,1.12
Langsa,12,71,4.47,97.97,80.23,2.62
Placido de Castro,24,95,-10.34,-67.19,74.02,1.72
